id,edit_history_tweet_ids,text,lang,created_at,tweetId,mislead_A,mislead_B,defend_A,defend_B,nA,nB,nMisleadingNotes,nNotMisleadingNotes,netStance_A,netStance_B,consensus,polarity,communityFlagged,polarity_abs,polarity_condition,topic_condition
1645785877812236294,['1645785877812236294'],"This 37-year old man just graduated from the Royal Academy of Ballet.

These transgenders don’t just want to be “women”- they want to be little girls. 

Disturbed. https://t.co/Fuv4UfcZim",en,2023-04-11T13:48:25.000Z,1645785877812236294,0.0135479513375151,0.9847004565963684,0.9999999266107906,0.301832767368514,12.0,87.0,1.0,1.0,-0.9864519752732754,0.6828676892278542,0.0135479513375151,-1.6693196645011297,True,1.6693196645011297,negative,lgbt
1774100713309708564,['1774100713309708564'],So Easter Sunday was the best day for ‘Transgender Day of Visibility’? Did I read that correctly?,en,2024-03-30T15:45:45.000Z,1774100713309708564,0.1717787765930195,0.9999681279988836,0.8889021610095308,0.156099259678248,21.0,291.0,1.0,1.0,-0.7171233844165112,0.8438688683206357,0.1717787765930195,-1.560992252737147,True,1.560992252737147,negative,lgbt
1775865313923305742,['1775865313923305742'],"These youngsters in my mentions telling me that children were too scared to come out as trans in the 90s don’t understand that we talked about everything and anything back then, before cancel culture and self censorship for fear of wrongthink.",en,2024-04-04T12:37:39.000Z,1775865313923305742,0.0383226261235029,0.8854341956712125,0.999999330576551,0.3530868602136517,20.0,556.0,3.0,2.0,-0.961676704453048,0.5323473354575607,0.0383226261235029,-1.4940240399106088,True,1.4940240399106088,negative,lgbt
1779358921796243863,['1779358921796243863'],"Biden tells America to choose Transgenders over Jesus 🤔
Joe Biden literally has already found a replacement for Easter, yap and its now called the transgender day folks. 
https://t.co/XXvgQoDQNE

Question: Who do you think he is going to replace Christmas with? https://t.co/DLKWtAVQSw",en,2024-04-14T04:00:00.000Z,1779358921796243863,0.2399410455745613,0.9760909821305582,0.726426948330946,0.1006672087786596,2562.0,2926.0,2.0,1.0,-0.4864859027563847,0.8754237733518986,0.2399410455745613,-1.3619096761082834,True,1.3619096761082834,negative,lgbt
1686122723833950208,['1686122723833950208'],"Russian lawmaker Maria Butina believes, ""Barbie should be removed from the (Russian) market, along with the Mattel company, because they bring the LGBT agenda here."" 🏳️‍🌈🇷🇺 https://t.co/uGMAGUKyAp",en,2023-07-31T21:12:38.000Z,1686122723833950208,0.5474903618839022,0.9007257681994872,0.9999995366502172,1.223379609837434e-37,42.0,70.0,2.0,1.0,-0.452509174766315,0.9007257681994872,0.5474903618839022,-1.3532349429658022,True,1.3532349429658022,negative,lgbt
1673708734890090500,['1673708734890090500'],"And lefties wonder why I am against all this LGBT 'Pride' crap?
I am not daft. I can see where this is leading. https://t.co/9irxoI0rl9",en,2023-06-27T15:03:53.000Z,1673708734890090500,0.5964748527132953,0.9273390302304924,0.999921978480238,0.1831322524104631,101.0,429.0,3.0,1.0,-0.4034471257669426,0.7442067778200293,0.5964748527132953,-1.147653903586972,True,1.147653903586972,negative,lgbt
1669458128285343745,"['1669455614638977025', '1669458128285343745']","No blacks. No Irish. *but* the homosexuals are welcome!

Progressive! https://t.co/9My3mLm13T",en,2023-06-15T21:33:29.000Z,1669458128285343745,0.8512308032309975,0.9887449148729665,1.0,9.814061903844195e-32,27.0,37.0,1.0,1.0,-0.1487691967690024,0.9887449148729665,0.8512308032309975,-1.137514111641969,True,1.137514111641969,negative,lgbt
1721644764356120578,['1721644764356120578'],"🚨#BREAKING: Google and Meta have BANNED sharing Steven Crowder’s release of the Nashville transgender school shooter manifesto. 

Audrey Hale shot three children and three adults to death at the Covenant School on March 27.

So you know what to do, X.

 https://t.co/mH2M9sY9Ms",en,2023-11-06T21:44:33.000Z,1721644764356120578,0.7844745477486484,0.9180474092795148,0.9999999999950816,1.9885616757205607e-27,41.0,37.0,1.0,1.0,-0.2155254522464332,0.9180474092795148,0.7844745477486484,-1.133572861525948,True,1.133572861525948,negative,lgbt
1661742549470711810,['1661742549470711810'],Target loses $9 Billion in week following boycott calls over LGBTQ-friendly kids clothing 🤯 https://t.co/2IL9tnSMPx,en,2023-05-25T14:34:32.000Z,1661742549470711810,0.5748878320537457,0.93777200520211,0.9472839411926608,0.2396917760061816,73.0,101.0,2.0,2.0,-0.3723961091389151,0.6980802291959285,0.5748878320537457,-1.0704763383348437,True,1.0704763383348437,negative,lgbt
1744909508894429540,['1744909508894429540'],"Jennifer Lawrence has been casted as Jesus Christ and Emma Stone as Judas in Martin Scorsese’s next movie, set to shoot later this year. It will be a gender-reversed, modern telling of the biblical events set in Southern California.

(Via: @Variety) https://t.co/FaNfFTvYdP",en,2024-01-10T02:30:20.000Z,1744909508894429540,0.7606234412046047,0.8642274493076547,1.0,0.0620945443411721,238.0,89.0,2.0,1.0,-0.2393765587953953,0.8021329049664826,0.7606234412046047,-1.0415094637618778,True,1.0415094637618778,negative,lgbt
1721613881213149591,['1721613881213149591'],"Google is suppressing the Nashville trans manifesto.

Confirming once again that Google is an enemy of free speech. https://t.co/nheEprg4za",en,2023-11-06T19:41:49.000Z,1721613881213149591,0.8778783356253556,0.8786545839919999,0.9999999999999998,4.0833583704924066e-14,56.0,33.0,1.0,1.0,-0.1221216643746442,0.8786545839919591,0.8778783356253556,-1.0007762483666034,True,1.0007762483666034,negative,lgbt
1782512214944956780,['1782512214944956780'],"""Circle K Inc., which operates more than 7,000 convenience stores discriminated against LGBT job seekers  - specifically gay men and trans-women - by automatically weeding out applicants who had been convicted of child sex crimes...""

https://t.co/k5OMEbx8ZK",en,2024-04-22T20:50:04.000Z,1782512214944956780,0.7507297027403675,0.9999999542581596,0.7218521955050949,6.60102362397668e-07,66.0,20.0,1.0,1.0,0.0288775072352726,0.999999294155797,0.7507297027403675,-0.9711217869205244,True,0.9711217869205244,negative,lgbt
1742290770726736071,['1742290770726736071'],"They booted a gay black women from president of Harvard and replaced her with a Jewish man 

Gay black women are the most valued class in America and can scream about the evils of white men all day long

They have made it clear who they cannot criticize though https://t.co/0PzvzZp5q0",en,2024-01-02T21:04:24.000Z,1742290770726736071,0.8313203384090843,0.7467630664377448,0.9996196536842196,0.0001340807827134,173.0,115.0,3.0,1.0,-0.1682993152751353,0.7466289856550313,0.7467630664377448,-0.9149283009301666,True,0.9149283009301666,negative,lgbt
1656878691534921729,['1656878691534921729'],"Homosexual blood donation:

Upto 2015: lifetime ban
2015: 12 month waiting period
2020: 3 month waiting period
2023: no ban, no waiting period

No changes in risks. Nothing changed medically. GLAAD &amp; HRC lobbied every step of the way.

Don't tell me the slippery slope isn't real.",en,2023-05-12T04:27:18.000Z,1656878691534921729,0.5183250170169511,0.9090127412284784,0.5235770439296785,0.0011757855435967,166.0,44.0,1.0,1.0,-0.0052520269127274,0.907836955684882,0.5183250170169511,-0.9130889825976092,True,0.9130889825976092,negative,lgbt
1746722920708321316,['1746722920708321316'],"When I was a kid the media pushed the nonstop lie that we would catch AID’s from sex 

One day I looked through the actual data and realized only gay men get AID’s 

People will doubt this but won't be able name one straight man in the world with AID’s 

People will say Charlie",en,2024-01-15T02:36:11.000Z,1746722920708321316,0.640611225767668,0.927788925736037,0.5731146292417045,1.0128882014291994e-06,209.0,162.0,2.0,1.0,0.0674965965259635,0.9277879128478356,0.640611225767668,-0.8602913163218721,True,0.8602913163218721,negative,lgbt
1558177178617057280,['1558177178617057280'],@microisanidiot LGBT doesnt exist in pokemon dummie,en,2022-08-12T19:42:43.000Z,1558177178617057280,0.124958990822688,0.9628551980950306,0.0171862279960809,0.0003166295644755,88.0,974.0,4.0,1.0,0.1077727628266071,0.9625385685305552,0.124958990822688,-0.854765805703948,True,0.854765805703948,negative,lgbt
