tweetId,noteId,classification,summary
2057084694991114514,2057128604446663021,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Personal yachts like Bezos' are not tax deductible unless used primarily (>50%) for business or charter, which Koru is not as it is unavailable for charter. https://www.yatco.com/yacht-tax-deductions-usa-2025 https://www.yachtcharterfleet.com/luxury-charter-yacht-54127/koru.htm"
2015551070626287917,2015893334254817400,MISINFORMED_OR_POTENTIALLY_MISLEADING,"PMS stands for pre-menstrual, men cannot menstruate, therefore do not have PMS symptoms. They are symptoms of something else.   https://www.nhs.uk/conditions/pre-menstrual-syndrome/"
2012202324991635495,2012225581207740538,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The Fourth Amendment requires probable cause for arrests; reasonable suspicion suffices only for brief investigatory stops, not full arrests. https://www.law.cornell.edu/wex/probable_cause https://www.law.cornell.edu/wex/fourth_amendment"
2017608736903147670,2017878166992273857,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Qatari Royalty and Saudia Crown Prince are in the files.  Qatari Royalty are mentioned 297 in the November release alone. As well as many Muslim politicians.    With specific mention of Prince Mohammed bin Salman, ""Jabor Y"",  former PM Hamad bin Jassim bin Jaber Al Thani     https://pamfleti.net/english/bota/publikohen-te-tjera-foto-te-epstein-bill-gates-chomsky-dhe-nje-princ-nga-ka-i312906  https://x.com/i/status/2017772514068599088  https://today.lorientlejour.com/article/1472669/bin-salman-epstein-photograph-sparks-backlash.html  https://edition.cnn.com/2025/11/19/us/5-things-to-know-for-nov-19-epstein-files-saudi-meeting-ice-raids-flu-season-russian-strikes"
2039586937590149419,2039655268712071638,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The man in the video wearing an ICE uniform is not a real ICE agent but an impersonator, as confirmed by the Department of Homeland Security.    https://www.foxnews.com/politics/man-wearing-ice-uniform-brutally-beaten-honolulu-not-affiliated-agency-dhs-says    https://nypost.com/2026/04/01/us-news/ice-impersonator-brutally-beaten-in-honolulu-not-affiliated-with-dhs-agency-says/    https://timesofindia.indiatimes.com/world/us/not-an-ice-agent-man-beaten-in-viral-honolulu-video-had-no-links-to-us-agency-says-dhs/articleshow/129955137.cms"
2015202988923711951,2015401895284900040,MISINFORMED_OR_POTENTIALLY_MISLEADING,Police Confirmed Alex Pretti was a US Citizen with a gun permit and his gun was REMOVED prior to officers fatally shooting him to death. Video evidences shows that Alex Pretti never drew the gun.    https://x.com/i/status/2015126613030248880    https://www.facebook.com/100059479812265/posts/pfbid02LZXNbkHkvaj9agSn22boZyZXLD14mmnH3sHdhdfSbXKRaQTvTqQJcDr5CrSRSnNfl/    https://x.com/i/status/2015252416560562678
2044137131132469622,2044691642444292345,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Claims here contradict extensive evidence. The Holocaust is documented by Nazi records, survivor testimony, forensic studies, and post‑war trials. Extermination camps and gas chambers are well established; denial sources are discredited.  Sources: https://encyclopedia.ushmm.org | https://www.yadvashem.org  https://encyclopedia.ushmm.org | https://www.yadvashem.org  https://encyclopedia.ushmm.org  https://avalon.law.yale.edu/subject_menus/imt.asp  https://encyclopedia.ushmm.org/content/en/article/chemical-analysis-of-the-walls-of-the-gas-chambers  https://www.icrc.org/en/doc/resources/documents/misc/57jrg7.htm"
2047306788836667731,2047362225430552758,MISINFORMED_OR_POTENTIALLY_MISLEADING,Taxpayers can deduct only mortgage interest—not the full mortgage payment—and only if they itemize deductions on Schedule A instead of taking the standard deduction used by about 90% of filers. https://www.irs.gov/publications/p936 https://taxpolicycenter.org/briefing-book/what-are-itemized-deductions-and-who-claims-them
2017903979405910149,2017949102500204907,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The Metropolitan Police issued a statement on 17 December 2025 that following the terrorist attacks against Jews in Manchester and Bondi Beach, calls to ""globalise the intifada"" amounted to a call to violence and action would be taken under the Public Order Act 1986.    https://news.met.police.uk/news/joint-statement-from-the-commissioner-of-the-metropolitan-police-and-the-chief-constable-of-greater-manchester-police-504494"
2046272688042147890,2046437674094104607,MISINFORMED_OR_POTENTIALLY_MISLEADING,Mainstream media and local media DID report on this tragic incident at the time (2019)  https://abcnews.com/US/firefighter-shot-killed-responding-medical-call-wisconsin/story?id=63071379    https://www.nbcnews.com/news/us-news/wisconsin-firefighter-responding-medical-call-shot-killed-police-officer-injured-n1006321    https://www.wisn.com/article/wisconsin-man-free-on-500-bail-fatally-shot-appleton-firefighter-in-2019/39694208
2041920238510317941,2041941361306329343,MISINFORMED_OR_POTENTIALLY_MISLEADING,"58% of U.S. Muslims are immigrants (first-generation), with 18% second-generation; only 24% are third-generation or more. https://www.pewresearch.org/religion/2017/07/26/demographic-portrait-of-muslim-americans/"
2037611108274438264,2038098923760300336,MISINFORMED_OR_POTENTIALLY_MISLEADING,"In January, Trump signed Executive Order 14380, placing harsh tariffs on any country caught ""directly or indirectly"" supplying oil to Cuba. There are incidents of US navy blocking the oil tankers headed for Cuba.   https://www.presidency.ucsb.edu/documents/executive-order-14380-addressing-threats-the-united-states-the-government-cuba  https://www.nytimes.com/2026/02/20/world/americas/cuba-oil-blockade-trump.html  https://maritime-executive.com/article/report-uscg-cutter-blocks-tanker-bound-for-cuba-with-vital-fuel-supply"
2037954578382000557,2038638581451788760,MISINFORMED_OR_POTENTIALLY_MISLEADING,There is good and recent scientific evidence that hormone treatment does *not* remove all of male developmental advantage from athletes:    https://bjsm.bmj.com/content/55/15/865.info  https://link.springer.com/article/10.1007/s40279-020-01389-3
2040813967858180378,2040887373345820790,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Misleading. Most undocumented immigrants entered illegally — a federal crime under 8 U.S.C. § 1325 (up to 6mo prison first offense, 2yrs for repeats). Re-entry after deportation is a felony (§ 1326). Calling 'being undocumented' not a crime downplays the violation.    https://uscode.house.gov/view.xhtml?req=(title:8%20section:1325)  https://uscode.house.gov/view.xhtml?req=(title:8%20section:1326)"
2016511641827914005,2016661813035725302,MISINFORMED_OR_POTENTIALLY_MISLEADING,"While Tucker cites ""comfort,"" Saudi Arabia officially prohibits public non-Islamic worship and contains no official churches. The US State Department labels Saudi Arabia a Country of Particular Concern regarding religious freedom.  https://www.state.gov/reports/2023-report-on-international-religious-freedom/saudi-arabia/  https://www.uscirf.gov/countries/saudi-arabia  "
2068204908306710636,2068384971988025486,MISINFORMED_OR_POTENTIALLY_MISLEADING,10 of the 26 Turkish players were born overseas. What we have here is a failure to understand facts.    https://x.com/svltxn0/status/2068317380325880258?s=46&t=eycEB6uJHN3p69mPUbCWiA
2009783869499728020,2010056039778152744,MISINFORMED_OR_POTENTIALLY_MISLEADING,The protests shown are led by ordinary Iranian civilians. Claims that protesters are “terrorists” or “foreign-backed groups” are unsubstantiated.    Similar accusations have repeatedly been made by the Islamic Republic during previous protest.     https://www.iranintl.com/en/202601099990    https://en.wikipedia.org/wiki/2025–2026_Iranian_protests
