tweetId,noteId,classification,summary
1770486244994105782,1770940041386484056,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The provided screenshot is not from a Mayo Clinic job posting, but instead from an advertisement for an independent entity called “Jobs For Humanity”.    The highlighted “company information” text is about the assistance priorities of JFH, not the hiring priorities of Mayo.    https://www.jobsforhumanity.com/faq/"
1534722484280381440,1535053483967119373,MISINFORMED_OR_POTENTIALLY_MISLEADING,"In Egbert v Boule, SCOTUS found the 4th amendment claims did not meet the criteria for government civil liability (Bivens Test) and declined to extend new liability to 1st amendment claims. Existing 1A &amp; 4A protections are not impacted. Border zone is defined by 8 CFR 287  https://twitter.com/mjs_dc/status/1534536335037456386  https://www.law.cornell.edu/wex/bivens_actions  https://www.law.cornell.edu/cfr/text/8/287.1"
1690084401030529028,1690150913514537331,MISINFORMED_OR_POTENTIALLY_MISLEADING,The FDA has not endorsed ivermectin for COVID. Bartiromo’s claim was based on an article in which an attorney for the FDA accurately stated in court that the FDA never prohibited doctors from prescribing ivermectin for COVID.    https://www.mediaite.com/tv/ron-johnson-wildly-claims-an-elite-group-of-people-preplanned-pandemic-response-to-take-away-americans-freedoms/    https://www.theepochtimes.com/article/doctors-can-prescribe-ivermectin-for-covid-19-fda-5456584
1410946337533726724,1410998583503900676,MISINFORMED_OR_POTENTIALLY_MISLEADING,More recent 2017 data showed continued drops and new historic lows in the teen pregnancy rate and *overall* abortion rate.    https://www.guttmacher.org/news-release/2019/us-abortion-rate-continues-decline-reaching-historic-low-2017# 
1673740554847526912,1673872590643904514,MISINFORMED_OR_POTENTIALLY_MISLEADING,"This is a digitally-altered image of President Zelensky.    The real image can be found here, taken during Zelensky's message to the Cannes Lions International Festival in June 2022.    https://www.president.gov.ua/en/news/viryu-sho-sila-lyudskoyi-kreativnosti-bilsha-nizh-sila-yader-75937   "
1779055776880869839,1779405678341181504,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Police have identified the attacker as Joel Cauchi, of Queensland, who was known to them and had mental health problems. There is no evidence that he was motivated by terrorism, religion or ideology.    https://www.independent.co.uk/news/uk/new-south-wales-police-sydney-queensland-westfield-the-king-b2528388.html    https://www.msn.com/en-us/news/world/police-say-sydney-attacker-was-known-to-police-but-had-not-been-charged/ar-BB1lAdGM"
1655402780171943938,1655579240761380865,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The image is not current. It's from 2018 and shows Honduran migrants in Arriaga, Mexico, heading to the US at that time.     https://www.gettyimages.co.uk/detail/news-photo/aerial-view-of-honduran-migrants-heading-in-a-caravan-to-news-photo/1054273390"
1762848417288475038,1762883672191987955,MISINFORMED_OR_POTENTIALLY_MISLEADING,"Wendy’s has issued a clarification and never used the term “surge pricing.” They are rolling out new menu boards which make price changes on the fly possible, and state they only ever planned to use this feature for deals and discounts.     https://www.wendys.com/blog/wendys-digital-news-update"
1606062249344307200,1606279657380265988,MISINFORMED_OR_POTENTIALLY_MISLEADING,"The spending bill included 16.464 Billion dollars for Border security, a 17% increase over FY2022 funding    https://www.appropriations.senate.gov/download/jrq121922"
1687526381331021824,1687966091966927099,MISINFORMED_OR_POTENTIALLY_MISLEADING,Historic job creation under Biden is largely attributable to the the timing of when Biden took office in relation to the end of the pandemic recession. Most (&gt;9M) jobs were naturally recovered during economic recovery.    https://www.politifact.com/factchecks/2023/feb/07/joe-biden/joe-bidens-boast-about-job-creation-needs-some-ast/    https://www.cnn.com/politics/live-news/biden-state-of-the-union-2023/h_c0f889221a1fc62e5fdc0f99aa187452    https://apnews.com/article/coronavirus-pandemic-joe-biden-health-business-ap-fact-check-0e06b60ce6f610114913aa31f89c56bc    https://www.wsj.com/articles/more-professionals-need-to-get-second-jobs-because-of-inflation-11667774723#
